layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy,eval_split
8,base_control,multitask_dual,all,0.5499999999999999,35788.6845703125,328870.4305419922,23.78465542359096,0.060461416840553284,
8,base_control,multitask_dual,all,0.5999999999999999,29009.18798828125,357879.61853027344,23.7257768847967,0.07239458709955215,
8,base_control,multitask_dual,all,0.6499999999999999,35688.36669921875,393567.9852294922,24.084694035217684,0.07000795379281044,
8,base_control,multitask_dual,all,0.7,28376.36328125,421944.3485107422,23.976835351218444,0.06404136680066586,
8,base_control,multitask_dual,all,0.7499999999999998,36897.64892578125,458841.99743652344,24.335295541581726,0.05131264869123697,
8,base_control,multitask_dual,all,0.7999999999999998,24153.7626953125,482995.76013183594,24.015302313635438,0.04136833734810352,
8,base_control,multitask_dual,all,0.8499999999999999,26187.41015625,509183.17028808594,23.82812346333876,0.07120127230882645,
8,base_control,multitask_dual,all,0.8999999999999999,20892.6357421875,530075.8060302734,23.427729427661692,0.05529037304222584,
8,base_control,multitask_dual,all,0.9499999999999997,22960.4140625,553036.2200927734,23.156061637682598,0.06443914026021957,
8,base_control,multitask_dual,all,0.9999999999999998,34355.85791015625,587392.0780029297,23.364840016027433,0.06443914026021957,
8,base_control,multitask_dual,all,test,196006.92578125,587392.0780029297,23.387057126983652,0.054826391860842705,test
8,base,multitask_triple_base,all,0.02,3707.9273071289062,3707.9273071289062,7.386309376750809,0.2377158204714457,
8,base,multitask_triple_base,all,0.04,22332.860107421875,26040.78741455078,25.911231258259484,0.2736911748846372,
8,base,multitask_triple_base,all,0.06,14775.884033203125,40816.671447753906,27.066758254478717,0.18157719324032465,
8,base,multitask_triple_base,all,0.08,15190.35400390625,56007.025451660156,27.85033587849834,0.30682569990555447,
8,base,multitask_triple_base,all,0.1,22888.955810546875,78895.98126220703,31.382649666749018,0.27435387174288434,
8,base,multitask_triple_base,all,0.12000000000000001,15041.926513671875,93937.9077758789,31.146521145848443,0.16135458648204803,
8,base,multitask_triple_base,all,0.13999999999999999,19956.240966796875,113894.14874267578,32.36548699706615,0.291583822419246,
8,base,multitask_triple_base,all,0.16,20876.950927734375,134771.09967041016,33.508478287023905,0.2789927013218403,
8,base,multitask_triple_base,all,0.18,23375.651123046875,158146.75079345703,34.949558186399344,0.28296884521842003,
8,base,multitask_triple_base,all,0.2,16103.083740234375,174249.8345336914,34.655893900893275,0.1868787184357643,
8,base,multitask_triple_base,all,0.25,33712.7314453125,207962.5659790039,33.08871375958694,0.2442322944601377,
8,base,multitask_triple_base,all,0.3,30935.9775390625,238898.5435180664,31.675754908255954,0.3296207934617996,
8,base,multitask_triple_base,all,0.35,38794.5986328125,277693.1421508789,31.559625201827355,0.30708035329977673,
8,base,multitask_triple_base,all,0.39999999999999997,57566.1005859375,335259.2427368164,33.339224615832975,0.3142402445276578,
8,base,multitask_triple_base,all,0.44999999999999996,36129.3203125,371388.5630493164,32.82847724293436,0.177936889231205,
8,base,multitask_triple_base,all,0.49999999999999994,22897.37353515625,394285.93658447266,31.367218503140226,0.31954389065504074,
8,base,multitask_triple_base,all,0.5499999999999999,39074.5205078125,433360.45709228516,31.341611129839094,0.3479183266560237,
8,base,multitask_triple_base,all,0.5999999999999999,46772.41357421875,480132.8706665039,31.830606647209223,0.2625298276543617,
8,base,multitask_triple_base,all,0.6499999999999999,16104.53759765625,496237.40826416016,30.367627945912744,0.318748340010643,
8,base,multitask_triple_base,all,0.7,49391.5546875,545628.9629516602,31.00516893690534,0.325112705429395,
8,base,multitask_triple_base,all,0.7499999999999998,52922.419921875,598551.3828735352,31.744968595785476,0.19119596605499586,
8,base,multitask_triple_base,all,0.7999999999999998,21266.796875,619818.1797485352,30.818326359811813,0.21930522471666336,
8,base,multitask_triple_base,all,0.8499999999999999,25766.04150390625,645584.2212524414,30.211250936049485,0.374701663851738,
8,base,multitask_triple_base,all,0.8999999999999999,36103.01953125,681687.2407836914,30.128491151051506,0.4115619050959746,
8,base,multitask_triple_base,all,0.9499999999999997,45016.58154296875,726703.8223266602,30.427660776563254,0.31291434665520984,
8,base,multitask_triple_base,all,0.9999999999999998,22699.7470703125,749403.5693969727,29.809211193197005,0.3937947501738866,
8,base,multitask_triple_base,all,test,251759.6796875,749403.5693969727,30.03933655739172,0.3556854824225108,test
8,base_control,multitask_triple_base,all,0.02,3701.0501708984375,3701.0501708984375,7.372609902188122,0.1374502032995224,
8,base_control,multitask_triple_base,all,0.04,13225.779052734375,16926.829223632812,16.84261614291822,0.26242544253667194,
8,base_control,multitask_triple_base,all,0.06,22787.075927734375,39713.90515136719,26.335480869606887,0.2597746749718984,
8,base_control,multitask_triple_base,all,0.08,16264.802734375,55978.70788574219,27.836254542885225,0.145791906863451,
8,base_control,multitask_triple_base,all,0.1,15952.623413085938,71931.33129882812,28.612303619263376,0.2571239074071248,
8,base_control,multitask_triple_base,all,0.12000000000000001,22222.696044921875,94154.02734375,31.218178827503316,0.30942895511786145,
8,base_control,multitask_triple_base,all,0.13999999999999999,24361.646728515625,118515.67407226562,33.6787934277538,0.15109342771271864,
8,base_control,multitask_triple_base,all,0.16,19031.608642578125,137547.28271484375,34.19872767649024,0.2597746749718984,
8,base_control,multitask_triple_base,all,0.18,23391.599365234375,160938.88208007812,35.5666037746029,0.26110005627075833,
8,base_control,multitask_triple_base,all,0.2,13244.053100585938,174182.93518066406,34.642588540307095,0.26110004633665085,
8,base_control,multitask_triple_base,all,0.25,52551.23388671875,226734.1690673828,36.075444561238314,0.2723415431876977,
8,base_control,multitask_triple_base,all,0.3,44370.53515625,271104.7042236328,35.945996317108566,0.15168390547235808,
8,base_control,multitask_triple_base,all,0.35,45131.55078125,316236.2550048828,35.940022162164205,0.25377884072562057,
8,base_control,multitask_triple_base,all,0.39999999999999997,63743.984375,379980.2393798828,37.786419986066306,0.24582338829835257,
8,base_control,multitask_triple_base,all,0.44999999999999996,66041.6689453125,446021.9083251953,39.425608443842954,0.18244496981302896,
8,base_control,multitask_triple_base,all,0.49999999999999994,35547.668029785156,481569.57635498047,38.31102437191571,0.262264646589756,
8,base_control,multitask_triple_base,all,0.5499999999999999,48945.3466796875,530514.923034668,38.3680424556786,0.2657120116055012,
8,base_control,multitask_triple_base,all,0.5999999999999999,51898.599609375,582413.522644043,38.61134464625053,0.17342879374821982,
8,base_control,multitask_triple_base,all,0.6499999999999999,27731.65283203125,610145.1754760742,37.338300928711476,0.2439671065658331,
8,base_control,multitask_triple_base,all,0.7,42638.6376953125,652783.8131713867,37.09420463526462,0.25510475039482117,
8,base_control,multitask_triple_base,all,0.7499999999999998,59056.658203125,711840.4713745117,37.75340606600433,0.1856271487971147,
8,base_control,multitask_triple_base,all,0.7999999999999998,43073.13671875,754913.6080932617,37.53548170710331,0.15778307989239693,
8,base_control,multitask_triple_base,all,0.8499999999999999,40409.88671875,795323.4948120117,37.218564032571095,0.2678334712982178,
8,base_control,multitask_triple_base,all,0.8999999999999999,61890.529296875,857214.0241088867,37.886238137933645,0.2991248890757561,
8,base_control,multitask_triple_base,all,0.9499999999999997,34980.17431640625,892194.198425293,37.35687302371113,0.1543357198437055,
8,base_control,multitask_triple_base,all,0.9999999999999998,50013.689453125,942207.887878418,37.47843627201345,0.2580217383801937,
8,base_control,multitask_triple_base,all,test,394633.6953125,942207.887878418,47.08670747076721,0.24607247052093348,test
8,instruct,attribute,all,0.02,1410.502685546875,1410.502685546875,2.809766305870269,0.0717131495475769,
8,instruct,attribute,all,0.04,6253.5419921875,7664.044677734375,7.625915102223258,0.09145128726959229,
8,instruct,attribute,all,0.06,10189.5888671875,17853.633544921875,11.839279539072862,0.10139164328575134,
8,instruct,attribute,all,0.08,9036.1259765625,26889.759521484375,13.371337405014607,0.1948309987783432,
8,instruct,attribute,all,0.1,12150.9365234375,39040.696044921875,15.529314258123259,0.08946321904659271,
8,instruct,attribute,all,0.12000000000000001,12147.8212890625,51188.517333984375,16.972320070949728,0.09760956466197968,
8,instruct,attribute,all,0.13999999999999999,8721.56640625,59910.083740234375,17.02474672925103,0.08548707515001297,
8,instruct,attribute,all,0.16,9825.1845703125,69735.26831054688,17.33845557199077,0.0974154993891716,
8,instruct,attribute,all,0.18,7870.8564453125,77606.12475585938,17.150524807924725,0.2723657786846161,
8,instruct,attribute,all,0.2,6914.9677734375,84521.09252929688,16.810082046399536,0.1729622185230255,
8,instruct,attribute,all,0.25,14982.669921875,99503.76245117188,15.831943110767204,0.22911694645881653,
8,instruct,attribute,all,0.3,18483.08203125,117986.84448242188,15.643973015436472,0.14956244826316833,
8,instruct,attribute,all,0.35,12820.4091796875,130807.25366210938,14.866149978646366,0.2474144697189331,
8,instruct,attribute,all,0.39999999999999997,23230.96484375,154038.21850585938,15.318040821982834,0.19968177378177643,
8,instruct,attribute,all,0.44999999999999996,13024.7001953125,167062.91870117188,14.767340113247757,0.19013524055480957,
8,instruct,attribute,all,0.49999999999999994,13267.3642578125,180330.28295898438,14.346084563165025,0.17024661600589752,
8,instruct,attribute,all,0.5499999999999999,12880.474609375,193210.75756835938,13.973440194428248,0.20206841826438904,
8,instruct,attribute,all,0.5999999999999999,9947.20703125,203157.96459960938,13.468441036834353,0.21559268236160278,
