state,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Rajasthan,16,199.42118677074586,201.99592861584574,41.49077745800696,1044.7623367602237,1055.6422039311665,135.9034866521296,136.67705051087904,2.729153602940227,0.1904693227586117,861,False,,baseline
Rajasthan,24,225.04609403328277,215.22257340215606,45.687891230032506,1045.3307183719003,1057.8760723813655,137.32124553716497,138.11048935944473,3.2410742517896702,0.19881737042597628,861,False,,baseline
Rajasthan,28,568.1093597682145,656.2642066237042,124.685150703553,1403.8295964570254,1417.5047337825797,228.46097528208017,229.51631180824802,3.3992286182427875,0.2756793226032288,861,False,,high
Sikkim,8,237.38434211713547,226.0306688109232,49.81474811100151,1165.7998191483202,1174.959311268737,165.26022431650674,165.98408305262663,2.404695452524401,0.18340813263335298,1485,False,,baseline
Sikkim,16,200.13054608228322,206.1776728040095,42.63256163785769,982.5622536721999,989.8643460094947,145.56752832239724,146.1475733403328,1.878927101657426,0.15126686004329665,1485,False,,baseline
Sikkim,24,236.05261074955024,231.73753705151057,48.47785525895671,998.8104932871591,1006.6182777237893,148.63770326840614,149.24529120061572,2.0510953853732112,0.15506723705185063,1485,False,,baseline
Sikkim,28,633.2977029455396,747.1278566517524,133.1686742461428,1483.0733946036253,1491.9959459967106,251.00926203059146,251.81260595220257,2.2201008160220823,0.21005462918907006,1485,False,,high
Tamil_Nadu,8,250.44499714387302,241.8709587504551,52.91841993274414,1096.493328939252,1105.8342425107667,163.51907872439082,164.19292404705237,2.362642783388429,0.16549588342272784,1590,False,,baseline
Tamil_Nadu,16,188.67228187503895,194.089908288605,40.523960784303426,884.737676041261,892.0392980887597,136.7222988289257,137.29286685828822,1.7767668654196294,0.14105762146401463,1590,False,,baseline
Tamil_Nadu,24,238.82441151415242,228.90838220623107,48.8727277309855,897.2854125278219,904.3695194013766,141.15075071780456,141.70940434367867,1.8952990098449607,0.14635703337891248,1590,False,,baseline
Tamil_Nadu,28,634.3770099994113,739.8088127972374,136.81679777915207,1411.386172302927,1421.2726163663167,248.6396602579886,249.48206408420057,2.4741068039999723,0.2212930983228804,1590,False,,high
Telangana,8,214.0259207360176,206.1648455284669,46.037097221303384,788.9652426021362,792.9783972292454,135.98408197703802,136.4080305824204,0.9559841204888223,0.10566596039902316,2889,False,,baseline
Telangana,16,175.49963512922886,182.24877664560734,38.39182029842033,672.3080723783253,675.4989786439933,118.84423664136622,119.21556562916702,0.7995420406491929,0.09270355060240072,2889,False,,baseline
Telangana,24,204.68727908766198,199.87887072338128,41.9842045644354,688.8728769655166,692.0830014449283,120.15027989854894,120.53017701183207,0.8415136511421817,0.09565088578502437,2889,False,,baseline
